locationid,latitude,longitude,zip_code,date,PM2_5_mean,PM2_5_max,AQI,temp_min,temp_max,humidity,wind,pressure,rain,pollen_tree,pollen_grass,pollen_weed,day_of_week,month,season,holiday_flag,google_trends_allergy,flare_day
37.77--122.42,37.77,-122.42,,2025-04-14,14.875,20.2,,9.6,19.4,66.75,9.183333333333334,1012.1333333333333,0.0,,,,Monday,4,spring,False,72.0,1
37.77--122.42,37.77,-122.42,,2025-04-15,11.754166666666668,17.6,,10.8,15.9,79.5,15.895833333333334,1013.9499999999999,0.0,,,,Tuesday,4,spring,False,72.0,1
37.77--122.42,37.77,-122.42,,2025-04-16,12.258333333333333,13.6,,11.2,14.9,74.625,13.816666666666668,1012.9958333333334,0.0,,,,Wednesday,4,spring,False,72.0,1
37.77--122.42,37.77,-122.42,,2025-04-17,10.9375,12.5,,11.8,16.8,75.16666666666667,11.549999999999999,1012.3000000000001,0.6000000000000001,,,,Thursday,4,spring,False,72.0,1
37.77--122.42,37.77,-122.42,,2025-04-18,14.270833333333334,16.4,,10.8,17.0,77.0,10.979166666666666,1013.8208333333333,0.0,,,,Friday,4,spring,False,72.0,1
37.77--122.42,37.77,-122.42,,2025-04-19,14.866666666666667,17.0,,10.1,15.6,80.0,12.466666666666667,1016.5833333333334,0.0,,,,Saturday,4,spring,False,72.0,1
37.77--122.42,37.77,-122.42,,2025-04-20,12.487499999999999,13.9,,11.1,15.8,77.41666666666667,11.233333333333334,1017.85,0.0,,,,Sunday,4,spring,False,72.0,1
37.77--122.42,37.77,-122.42,,2025-04-21,13.604166666666666,15.8,,10.4,19.2,78.29166666666667,9.345833333333333,1014.5083333333333,0.0,,,,Monday,4,spring,False,72.0,1
37.77--122.42,37.77,-122.42,,2025-04-22,15.433333333333332,20.1,,10.8,16.6,76.58333333333333,11.6875,1011.85,0.0,,,,Tuesday,4,spring,False,72.0,1
37.77--122.42,37.77,-122.42,,2025-04-23,11.116666666666667,13.1,,10.4,14.2,76.20833333333333,18.037499999999998,1011.4791666666666,0.0,,,,Wednesday,4,spring,False,72.0,1
37.77--122.42,37.77,-122.42,,2025-04-24,12.354166666666666,14.3,,10.4,13.4,76.45833333333333,17.441666666666666,1013.8083333333334,0.30000000000000004,,,,Thursday,4,spring,False,72.0,1
37.77--122.42,37.77,-122.42,,2025-04-25,11.941666666666668,13.3,,10.6,14.4,67.41666666666667,17.383333333333333,1012.3916666666668,0.0,,,,Friday,4,spring,False,72.0,1
37.77--122.42,37.77,-122.42,,2025-04-26,9.733333333333333,12.8,,8.5,14.2,71.83333333333333,8.445833333333333,1011.4250000000001,0.1,,,,Saturday,4,spring,False,72.0,1
37.77--122.42,37.77,-122.42,,2025-04-27,7.666666666666667,11.0,,10.6,14.9,77.95833333333333,9.858333333333333,1013.5291666666667,2.3,,,,Sunday,4,spring,False,65.0,1
37.77--122.42,37.77,-122.42,,2025-04-28,12.8375,14.7,,10.2,16.4,76.5,8.566666666666666,1018.9541666666668,0.0,,,,Monday,4,spring,False,65.0,1
37.77--122.42,37.77,-122.42,,2025-04-29,12.695833333333333,14.1,,10.0,17.0,77.25,10.954166666666666,1017.4291666666667,0.0,,,,Tuesday,4,spring,False,65.0,1
37.77--122.42,37.77,-122.42,,2025-04-30,13.075000000000001,15.9,,10.9,19.2,77.29166666666667,10.883333333333333,1013.3833333333333,0.0,,,,Wednesday,4,spring,False,65.0,1
37.77--122.42,37.77,-122.42,,2025-05-01,14.045833333333334,14.8,,10.6,15.8,77.45833333333333,14.904166666666667,1012.3916666666668,0.0,,,,Thursday,5,spring,False,65.0,1
37.77--122.42,37.77,-122.42,,2025-05-02,10.204166666666667,15.6,,10.8,15.2,79.25,18.391666666666666,1013.8083333333334,0.0,,,,Friday,5,spring,False,65.0,1
37.77--122.42,37.77,-122.42,,2025-05-03,7.8625,11.6,,11.0,16.2,78.20833333333333,18.029166666666665,1013.25,0.5,,,,Saturday,5,spring,False,65.0,1
37.77--122.42,37.77,-122.42,,2025-05-04,6.595833333333334,9.2,,9.6,19.6,66.04166666666667,9.154166666666667,1009.1833333333334,0.0,,,,Sunday,5,spring,False,100.0,1
37.77--122.42,37.77,-122.42,,2025-05-05,5.8999999999999995,11.9,,15.3,29.1,32.416666666666664,15.241666666666667,1006.4541666666668,0.0,,,,Monday,5,spring,False,100.0,1
37.77--122.42,37.77,-122.42,,2025-05-06,13.270833333333334,15.7,,12.4,27.8,57.375,11.450000000000001,1008.7666666666668,0.0,,,,Tuesday,5,spring,False,100.0,1
37.77--122.42,37.77,-122.42,,2025-05-07,14.987499999999999,20.3,,11.6,16.9,81.70833333333333,16.695833333333333,1014.2583333333333,0.0,,,,Wednesday,5,spring,False,100.0,1
37.77--122.42,37.77,-122.42,,2025-05-08,11.716666666666667,16.9,,10.7,19.6,77.375,10.879166666666668,1017.4125,0.0,,,,Thursday,5,spring,False,100.0,1
37.77--122.42,37.77,-122.42,,2025-05-09,12.9375,16.2,,10.9,22.8,59.5,9.075000000000001,1016.6625,0.0,,,,Friday,5,spring,False,100.0,1
37.77--122.42,37.77,-122.42,,2025-05-10,12.241666666666667,15.3,,11.9,23.5,52.166666666666664,9.291666666666666,1013.525,0.0,,,,Saturday,5,spring,False,100.0,1
37.77--122.42,37.77,-122.42,,2025-05-11,7.9125000000000005,11.5,,11.4,21.8,64.25,15.841666666666667,1013.3958333333334,0.0,,,,Sunday,5,spring,False,76.0,1
37.77--122.42,37.77,-122.42,,2025-05-12,9.820833333333333,11.1,,11.9,15.6,75.45833333333333,16.337500000000002,1012.7083333333334,3.3000000000000003,,,,Monday,5,spring,False,76.0,1
37.77--122.42,37.77,-122.42,,2025-05-13,8.095833333333333,9.1,,10.7,17.3,73.83333333333333,12.954166666666666,1014.5291666666667,0.2,,,,Tuesday,5,spring,False,76.0,1
37.77--122.42,37.77,-122.42,,2025-05-14,9.9375,13.0,,10.7,17.8,70.45833333333333,10.466666666666667,1016.4416666666666,0.0,,,,Wednesday,5,spring,False,76.0,1
37.77--122.42,37.77,-122.42,,2025-05-15,10.783333333333333,13.7,,11.1,19.3,71.70833333333333,9.854166666666666,1014.9333333333334,0.0,,,,Thursday,5,spring,False,76.0,1
37.77--122.42,37.77,-122.42,,2025-05-16,12.066666666666668,15.4,,11.6,19.7,68.0,10.795833333333334,1012.4375,0.0,,,,Friday,5,spring,False,76.0,1
37.77--122.42,37.77,-122.42,,2025-05-17,8.629166666666666,11.0,,11.7,18.2,75.29166666666667,21.170833333333334,1011.5583333333334,0.0,,,,Saturday,5,spring,False,76.0,1
37.77--122.42,37.77,-122.42,,2025-05-18,7.620833333333334,9.9,,10.8,20.8,67.83333333333333,10.279166666666667,1014.3416666666667,0.0,,,,Sunday,5,spring,False,68.0,1
37.77--122.42,37.77,-122.42,,2025-05-19,6.633333333333333,8.8,,12.7,23.4,56.458333333333336,10.183333333333334,1016.5666666666666,0.0,,,,Monday,5,spring,False,68.0,1
37.77--122.42,37.77,-122.42,,2025-05-20,5.566666666666666,7.7,,11.6,20.5,64.04166666666667,11.9125,1016.4125,0.0,,,,Tuesday,5,spring,False,68.0,1
37.77--122.42,37.77,-122.42,,2025-05-21,9.020833333333334,12.1,,11.1,20.4,65.0,9.674999999999999,1014.1125000000001,0.0,,,,Wednesday,5,spring,False,68.0,1
37.77--122.42,37.77,-122.42,,2025-05-22,8.2875,10.7,,11.4,18.9,63.291666666666664,13.108333333333334,1014.1625,0.0,,,,Thursday,5,spring,False,68.0,1
37.77--122.42,37.77,-122.42,,2025-05-23,8.137500000000001,11.0,,10.5,17.0,75.0,19.275000000000002,1014.7875,0.0,,,,Friday,5,spring,False,68.0,1
37.77--122.42,37.77,-122.42,,2025-05-24,10.6875,12.1,,10.6,16.7,77.54166666666667,15.508333333333333,1013.3291666666668,0.0,,,,Saturday,5,spring,False,68.0,1
37.77--122.42,37.77,-122.42,,2025-05-25,9.920833333333333,11.8,,10.6,15.8,76.54166666666667,22.0,1015.6041666666666,0.0,,,,Sunday,5,spring,False,60.0,1
37.77--122.42,37.77,-122.42,,2025-05-26,9.970833333333333,13.4,,11.8,16.1,84.625,16.820833333333333,1016.875,0.1,,,,Monday,5,spring,False,60.0,1
37.77--122.42,37.77,-122.42,,2025-05-27,10.799999999999999,13.4,,10.6,17.0,78.54166666666667,13.004166666666668,1014.375,0.0,,,,Tuesday,5,spring,False,60.0,1
37.77--122.42,37.77,-122.42,,2025-05-28,11.137500000000001,14.1,,11.4,16.5,81.45833333333333,18.708333333333332,1014.0958333333333,0.0,,,,Wednesday,5,spring,False,60.0,1
37.77--122.42,37.77,-122.42,,2025-05-29,7.358333333333333,9.8,,11.9,23.5,71.79166666666667,14.966666666666667,1014.8291666666668,0.0,,,,Thursday,5,spring,False,60.0,1
37.77--122.42,37.77,-122.42,,2025-05-30,11.299999999999999,17.5,,12.1,21.5,73.58333333333333,10.941666666666668,1013.5749999999999,0.0,,,,Friday,5,spring,False,60.0,1
37.77--122.42,37.77,-122.42,,2025-05-31,14.529166666666667,18.2,,12.7,21.4,70.125,12.145833333333334,1011.5500000000001,0.0,,,,Saturday,5,spring,False,60.0,1
37.77--122.42,37.77,-122.42,,2025-06-01,10.608333333333333,15.4,,12.6,21.6,71.33333333333333,16.341666666666665,1009.4499999999999,0.0,,,,Sunday,6,summer,False,54.0,0
37.77--122.42,37.77,-122.42,,2025-06-02,11.799999999999999,14.3,,11.1,19.7,73.375,12.170833333333334,1009.9541666666668,0.0,,,,Monday,6,summer,False,54.0,0
37.77--122.42,37.77,-122.42,,2025-06-03,14.666666666666666,15.7,,12.6,18.5,78.54166666666667,14.466666666666667,1013.225,0.0,,,,Tuesday,6,summer,False,54.0,0
37.77--122.42,37.77,-122.42,,2025-06-04,17.095833333333335,19.6,,12.2,17.6,79.375,13.950000000000001,1010.3166666666666,0.0,,,,Wednesday,6,summer,False,54.0,0
37.77--122.42,37.77,-122.42,,2025-06-05,13.6,20.7,,12.8,17.8,78.83333333333333,17.083333333333332,1009.6416666666668,0.0,,,,Thursday,6,summer,False,54.0,0
37.77--122.42,37.77,-122.42,,2025-06-06,13.270833333333334,15.4,,13.6,18.0,77.20833333333333,14.341666666666667,1011.1666666666666,0.0,,,,Friday,6,summer,False,54.0,0
37.77--122.42,37.77,-122.42,,2025-06-07,12.987499999999999,14.5,,12.3,17.0,84.29166666666667,14.975,1013.1458333333334,0.0,,,,Saturday,6,summer,False,54.0,0
37.77--122.42,37.77,-122.42,,2025-06-08,12.9,17.6,,12.2,15.3,85.08333333333333,18.658333333333335,1014.2375000000001,0.0,,,,Sunday,6,summer,False,57.0,0
37.77--122.42,37.77,-122.42,,2025-06-09,13.933333333333332,15.8,,10.9,15.2,87.95833333333333,19.004166666666666,1012.9958333333334,0.0,,,,Monday,6,summer,False,57.0,0
37.77--122.42,37.77,-122.42,,2025-06-10,11.995833333333332,15.4,,11.4,14.4,89.04166666666667,20.654166666666665,1013.2416666666667,0.0,,,,Tuesday,6,summer,False,57.0,0
37.77--122.42,37.77,-122.42,,2025-06-11,12.816666666666668,14.5,,10.6,14.4,83.66666666666667,22.041666666666668,1014.3041666666667,0.0,,,,Wednesday,6,summer,False,57.0,0
37.77--122.42,37.77,-122.42,,2025-06-12,11.820833333333333,14.2,,10.6,17.5,78.33333333333333,18.670833333333334,1012.5791666666668,0.0,,,,Thursday,6,summer,False,57.0,0
37.77--122.42,37.77,-122.42,,2025-06-13,13.404166666666667,15.4,,11.3,16.1,78.625,17.841666666666665,1012.1750000000001,0.0,,,,Friday,6,summer,False,57.0,0
37.77--122.42,37.77,-122.42,,2025-06-14,11.674999999999999,14.2,,11.1,16.1,76.16666666666667,16.054166666666667,1012.7583333333333,0.0,,,,Saturday,6,summer,False,57.0,0
37.77--122.42,37.77,-122.42,,2025-06-15,12.4625,13.8,,11.4,16.3,75.79166666666667,14.458333333333334,1014.1875,0.0,,,,Sunday,6,summer,False,58.0,0
37.77--122.42,37.77,-122.42,,2025-06-16,12.5,16.9,,11.4,17.9,75.54166666666667,16.8125,1014.9708333333333,0.0,,,,Monday,6,summer,False,58.0,0
37.77--122.42,37.77,-122.42,,2025-06-17,9.245833333333334,10.8,,12.1,20.9,63.416666666666664,13.254166666666668,1014.0124999999999,0.0,,,,Tuesday,6,summer,False,58.0,0
37.77--122.42,37.77,-122.42,,2025-06-18,8.258333333333333,10.1,,12.4,23.9,69.83333333333333,12.237499999999999,1011.0333333333333,0.0,,,,Wednesday,6,summer,False,58.0,0
37.77--122.42,37.77,-122.42,,2025-06-19,7.958333333333333,9.2,,12.1,23.4,67.04166666666667,16.666666666666668,1008.875,0.0,,,,Thursday,6,summer,False,58.0,0
37.77--122.42,37.77,-122.42,,2025-06-20,8.741666666666667,9.7,,11.6,18.0,71.375,20.941666666666666,1010.8249999999999,0.0,,,,Friday,6,summer,False,58.0,0
37.77--122.42,37.77,-122.42,,2025-06-21,5.704166666666667,8.9,,12.2,20.5,61.0,14.450000000000001,1013.1625,0.0,,,,Saturday,6,summer,False,58.0,0
37.77--122.42,37.77,-122.42,,2025-06-22,6.8999999999999995,10.3,,12.2,20.5,59.875,10.020833333333334,1013.8583333333332,0.0,,,,Sunday,6,summer,False,56.0,0
37.77--122.42,37.77,-122.42,,2025-06-23,11.783333333333333,16.2,,11.2,19.0,72.20833333333333,12.054166666666667,1012.1208333333334,0.0,,,,Monday,6,summer,False,56.0,0
37.77--122.42,37.77,-122.42,,2025-06-24,13.754166666666668,16.3,,11.4,16.4,84.79166666666667,17.354166666666668,1012.8791666666666,0.0,,,,Tuesday,6,summer,False,56.0,0
37.77--122.42,37.77,-122.42,,2025-06-25,15.054166666666667,19.7,,11.1,15.8,85.79166666666667,16.025000000000002,1014.9833333333332,0.0,,,,Wednesday,6,summer,False,56.0,0
37.77--122.42,37.77,-122.42,,2025-06-26,9.3375,12.7,,11.6,20.0,77.16666666666667,14.133333333333333,1012.8083333333334,0.0,,,,Thursday,6,summer,False,56.0,0
37.77--122.42,37.77,-122.42,,2025-06-27,10.0625,12.7,,12.1,20.8,72.125,10.987499999999999,1010.8249999999999,0.0,,,,Friday,6,summer,False,56.0,0
37.77--122.42,37.77,-122.42,,2025-06-28,9.7625,10.7,,12.6,19.4,76.375,11.079166666666666,1011.8874999999999,0.0,,,,Saturday,6,summer,False,56.0,0
37.77--122.42,37.77,-122.42,,2025-06-29,11.358333333333334,15.4,,10.9,16.8,83.75,12.841666666666667,1012.5,0.0,,,,Sunday,6,summer,False,51.0,0
37.77--122.42,37.77,-122.42,,2025-06-30,12.887500000000001,17.3,,11.1,16.6,86.29166666666667,14.245833333333332,1010.9333333333334,0.0,,,,Monday,6,summer,False,51.0,0
37.77--122.42,37.77,-122.42,,2025-07-01,12.387500000000001,16.9,,11.7,17.1,85.0,14.341666666666667,1010.1374999999999,0.0,,,,Tuesday,7,summer,False,51.0,0
37.77--122.42,37.77,-122.42,,2025-07-02,12.816666666666668,15.6,,11.7,16.4,86.16666666666667,15.262500000000001,1009.4958333333334,0.0,,,,Wednesday,7,summer,False,51.0,0
37.77--122.42,37.77,-122.42,,2025-07-03,9.370833333333334,12.1,,12.6,16.6,75.95833333333333,17.625,1009.4625,0.0,,,,Thursday,7,summer,False,51.0,0
37.77--122.42,37.77,-122.42,,2025-07-04,10.070833333333333,11.7,,11.9,16.5,77.75,18.474999999999998,1014.5875,0.0,,,,Friday,7,summer,False,51.0,0
37.77--122.42,37.77,-122.42,,2025-07-05,9.0875,12.3,,11.5,16.9,78.04166666666667,16.133333333333333,1017.85,0.0,,,,Saturday,7,summer,False,51.0,0
37.77--122.42,37.77,-122.42,,2025-07-06,11.6625,14.8,,11.9,16.1,82.29166666666667,15.125,1015.1166666666667,0.0,,,,Sunday,7,summer,False,56.0,0
37.77--122.42,37.77,-122.42,,2025-07-07,13.191666666666668,16.8,,11.9,17.5,83.70833333333333,13.9375,1011.9958333333334,0.0,,,,Monday,7,summer,False,56.0,0
37.77--122.42,37.77,-122.42,,2025-07-08,8.158333333333333,12.0,,14.1,19.0,76.875,14.637500000000001,1016.1666666666666,0.0,,,,Tuesday,7,summer,False,56.0,0
37.77--122.42,37.77,-122.42,,2025-07-09,9.237499999999999,11.2,,12.6,18.0,83.95833333333333,13.866666666666667,1018.725,0.0,,,,Wednesday,7,summer,False,56.0,0
37.77--122.42,37.77,-122.42,,2025-07-10,13.758333333333333,17.5,,12.9,18.5,76.5,11.979166666666666,1015.3666666666667,0.0,,,,Thursday,7,summer,False,56.0,0
37.77--122.42,37.77,-122.42,,2025-07-11,15.716666666666667,20.7,,13.1,19.5,79.875,13.262500000000001,1011.0291666666667,0.0,,,,Friday,7,summer,False,56.0,0
37.77--122.42,37.77,-122.42,,2025-07-12,11.104166666666666,16.8,,12.1,17.6,85.375,14.933333333333332,1011.5875,0.0,,,,Saturday,7,summer,False,56.0,0
37.77--122.42,37.77,-122.42,,2025-07-13,11.637500000000001,12.8,,13.4,17.1,83.58333333333333,15.458333333333334,1013.7666666666668,0.0,,,,Sunday,7,summer,False,57.0,0
37.77--122.42,37.77,-122.42,,2025-07-14,10.491666666666667,14.3,,13.4,17.5,84.08333333333333,13.729166666666666,1012.9541666666668,0.0,,,,Monday,7,summer,False,57.0,0
37.77--122.42,37.77,-122.42,,2025-07-15,7.6875,10.3,,13.1,17.0,84.29166666666667,17.016666666666666,1011.0500000000001,0.0,,,,Tuesday,7,summer,False,57.0,0
37.77--122.42,37.77,-122.42,,2025-07-16,6.583333333333333,11.2,,12.9,17.4,81.08333333333333,17.658333333333335,1011.3874999999999,0.0,,,,Wednesday,7,summer,False,57.0,0
37.77--122.42,37.77,-122.42,,2025-07-17,7.329166666666667,9.2,,13.2,17.9,82.66666666666667,13.137500000000001,1012.2041666666668,0.0,,,,Thursday,7,summer,False,57.0,0
37.77--122.42,37.77,-122.42,,2025-07-18,6.841666666666666,8.6,,12.9,16.6,83.83333333333333,13.174999999999999,1013.7541666666666,0.0,,,,Friday,7,summer,False,57.0,0
37.77--122.42,37.77,-122.42,,2025-07-19,7.8500000000000005,13.0,,11.2,15.2,87.04166666666667,16.599999999999998,1015.3041666666667,0.0,,,,Saturday,7,summer,False,57.0,0
37.77--122.42,37.77,-122.42,,2025-07-20,10.0875,13.3,,11.9,16.1,86.16666666666667,16.8875,1013.4458333333333,0.0,,,,Sunday,7,summer,False,55.0,0
